question,date,yes_price,no_price
Trump wins every swing state?,2024-11-06,0.2,0.8
"Trump wins 281-257 - AZ, GA, NC, PA",2024-11-06,0.07,0.93
"Trump wins the election but loses WI, MI, or PA?",2024-11-06,0.375,0.625
Trump wins Pennsylvania but loses the Election?,2024-11-06,0.105,0.895
Will Trump win no swing states?,2024-11-06,0.085,0.915
Will Trump win 6 swing states?,2024-11-06,0.165,0.835
Will Trump win 5 swing states?,2024-11-06,0.22,0.78
Will Trump win 3 swing states?,2024-11-06,0.08,0.92
Trump wins a solid blue state?,2024-11-06,0.145,0.855
Will Trump win 4 swing states?,2024-11-06,0.18,0.82
Will Donald Trump win the 2024 US Presidential Election?,2024-11-06,0.628,0.372
Will Trump win 2 swing states?,2024-11-06,0.075,0.925
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-11-06,0.275,0.725
Will Trump win 7 swing states?,2024-11-06,0.195,0.805
Will Trump win 1 swing state?,2024-11-06,0.07,0.93
Will Trump win another state by the largest margin?,2024-11-06,0.0265,0.9735
Will Trump win Alaska by 6+ points?,2024-11-06,0.745,0.255
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-06,0.269,0.731
Will Trump win Miami?,2024-11-06,0.67,0.33
Trump claims victory before AP calls the election?,2024-11-06,0.795,0.205
Will Trump win Florida by 8+ points?,2024-11-06,0.655,0.345
Will Trump win Arkansas by the largest margin?,2024-11-06,0.017,0.983
Will Trump win Texas by 10+ points?,2024-11-06,0.315,0.685
Will Trump win Florida by 12+ points?,2024-11-06,0.255,0.745
Trump blowout victory?,2024-11-06,0.135,0.865
Will Trump win North Dakota by the largest margin?,2024-11-06,0.0305,0.9695
Winning candidate also wins popular vote?,2024-11-06,0.64,0.36
Will any other Republican Politician win the 2024 US Presidential Election?,2024-11-06,0.0005,0.9995
Will Trump win Mississippi by 20+ points?,2024-11-06,0.445,0.555
Trump nominates RFK Jr. to Cabinet?,2024-11-01,0.41,0.59
Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,2024-11-01,0.0005,0.9995
Will Nikki Haley win the 2024 US Presidential Election?,2024-11-01,0.0005,0.9995
Will Trump do a podcast with Hawk Tuah Girl?,2024-11-01,0.017,0.983
Will Nikki Haley win the popular vote in the 2024 Presidential Election?,2024-11-01,0.0005,0.9995
Will Trump go on Redscare?,2024-11-01,0.022,0.978
Trump nominates Tulsi Gabbard to Cabinet?,2024-11-01,0.445,0.555
Will Trump cut Ukraine off from Starlink?,2025-02-25,0.055,0.945
Will Trump sanction Russia before March?,2025-02-25,0.014,0.986
Will Putin meet with Trump in February?,2025-02-25,0.021,0.979
Pam Bondi confirmed as Attorney General?,2025-02-05,0.997,0.003
Will Pam Bondi be Trump's Attorney General?,2025-02-05,0.9955,0.0045
Will Robert Giuffra be Trump's Attorney General?,2025-02-05,0.0015,0.9985
Will Matthew Whitaker be Trump's Attorney General?,2025-02-05,0.0005,0.9995
Will Matt Gaetz be Trump's Attorney General?,2025-02-05,0.0015,0.9985
Will Todd Blanche be Trump's Attorney General?,2025-02-05,0.0005,0.9995
Will Mike Davis be Trump's Attorney General?,2025-02-05,0.0005,0.9995
Will Ken Paxton be Trump's Attorney General?,2025-02-05,0.0015,0.9985
Will Mike Lee be Trump's Attorney General?,2025-02-05,0.001,0.999
Will Andrew Bailey be Trump's Attorney General?,2025-02-05,0.0005,0.9995
Will Will Levi be Trump's Attorney General?,2025-02-05,0.0005,0.9995
Will Jay Clayton be Trump's Attorney General?,2025-02-05,0.001,0.999
"Will Trump say ""mandate"" 3+ times during his inauguration speech?",2025-01-20,0.165,0.835
"Will Trump say ""god"" 4+ times during his inauguration speech?",2025-01-20,0.63,0.37
"Will Trump say ""America"" 15 or more times during his inauguration speech?",2025-01-20,0.73,0.27
"Will Trump's inaugural address be 2,400 or more words?",2025-01-20,0.265,0.735
Five Trump Cabinet confirmations in January?,2025-01-20,0.16,0.84
"Will Trump's inaugural address be 2,200-2,400 words?",2025-01-20,0.09,0.91
"Will Trump's inaugural address be 1,200-1,400 words?",2025-01-20,0.065,0.935
Seven Trump Cabinet confirmations in January?,2025-01-20,0.085,0.915
Four Trump Cabinet confirmations in January?,2025-01-20,0.17,0.83
"Will Trump's inaugural address be 1,400-1,600 words?",2025-01-20,0.08,0.92
Two Trump Cabinet confirmations in January?,2025-01-20,0.0125,0.9875
"Will Trump's inaugural address be less than 1,200 words?",2025-01-20,0.0515,0.9485
"Will Trump's inaugural address be 1,600-1,800 words?",2025-01-20,0.14,0.86
Three Trump Cabinet confirmations in January?,2025-01-20,0.024,0.976
Six Trump Cabinet confirmations in January?,2025-01-20,0.16,0.84
"Will Trump's inaugural address be 2,000-2,200 words?",2025-01-20,0.195,0.805
"Will Trump say ""MAGA"" 4 or more times during his inauguration speech?",2025-01-20,0.16,0.84
Nine Trump Cabinet confirmations in January?,2025-01-20,0.115,0.885
Eight Trump Cabinet confirmations in January?,2025-01-20,0.085,0.915
"Will Trump's inaugural address be 1,800-2,000 words?",2025-01-20,0.125,0.875
"Will Trump say ""hell"" during his inauguration speech?",2025-01-20,0.225,0.775
Will Trump's inaugural address be 16-18 minutes?,2025-01-20,0.12,0.88
"Will Trump say ""America first"" during his inauguration speech?",2025-01-20,0.845,0.155
Will Trump's inaugural address be 10-12 minutes?,2025-01-20,0.0105,0.9895
Will Trump's inaugural address be 18-20 minutes?,2025-01-20,0.19,0.81
GOP wins popular vote by 7% or more?,2024-11-13,0.0005,0.9995
GOP wins popular vote by 6-7%?,2024-11-13,0.0005,0.9995
Democrats win popular vote by 6-7%?,2024-11-13,0.0005,0.9995
Democrats win popular vote by 7% or more?,2024-11-13,0.0005,0.9995
GOP wins popular vote by 5-6%?,2024-11-13,0.0005,0.9995
Democrats win popular vote by 5-6%?,2024-11-13,0.0005,0.9995
GOP wins popular vote by 4-5%?,2024-11-13,0.0005,0.9995
Democrats win popular vote by 4-5%?,2024-11-13,0.0005,0.9995
GOP wins popular vote by 3-4%?,2024-11-13,0.0005,0.9995
GOP wins popular vote by 0-1%?,2024-11-13,0.0265,0.9735
GOP wins popular vote by 1-2%?,2024-11-13,0.9595,0.0405
GOP wins popular vote by 2-3%?,2024-11-13,0.009,0.991
Democrats win popular vote by 3-4%?,2024-11-13,0.0005,0.9995
Democrats win popular vote by 0-1%?,2024-11-13,0.001,0.999
Democrats win popular vote by 1-2%?,2024-11-13,0.0005,0.9995
Democrats win popular vote by 2-3%?,2024-11-13,0.0005,0.9995
U.S. Presidential election decided by ≤10k votes?,2024-11-13,0.009,0.991
U.S. Presidential election decided by ≤100k votes?,2024-11-13,0.007,0.993
Will Trump get over 50% of the Popular Vote?,2024-11-13,0.09,0.91
Will Trump get 70-72m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0005,0.9995
Will Trump get 72-74m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0005,0.9995
Will Trump get 68-70m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0005,0.9995
Will Trump get 74-76m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0365,0.9635
Will Trump get 78-80m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.278,0.722
Will Trump get 76-78m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.775,0.225
Neither a Democrat nor a Republican wins popular vote?,2024-11-13,0.0005,0.9995
Will Trump get 66-68m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0005,0.9995
Will Trump get 80-82m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.008,0.992
Will Trump win Arkansas by the largest margin?,2024-11-13,0.004,0.996
Will Trump get 82-84m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0025,0.9975
Will Trump get 84-86m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.001,0.999
Will Trump get 86m or more votes in the 2024 U.S. Presidential Election?,2024-11-13,0.001,0.999
Will Trump get less than 66m votes in the 2024 U.S. Presidential Election?,2024-11-13,0.0005,0.9995
Will Trump win Texas by 10+ points?,2024-11-13,0.993,0.007
"Will Trump say ""Tesla"" during Michigan rally on October 18?",2024-10-18,0.58,0.42
Will Trump launch a coin before the election?,2024-10-18,0.9935,0.0065
"Will Trump say ""McDonald's"" during Pennsylvania rally on October 19?",2024-10-20,0.755,0.245
Will Joe Biden endorse Donald Trump?,2024-10-20,0.0085,0.9915
Trump nominates Elon Musk to Cabinet?,2024-10-20,0.19,0.81
Will Joe Biden attend presidential inauguration?,2025-01-20,0.989,0.011
Trump inauguration gets more viewers than Biden's?,2025-01-20,0.505,0.495
"Will Trump say ""Biden"" during victory rally?",2025-01-20,0.855,0.145
"Will Trump say ""Biden"" during his inauguration speech?",2025-01-20,0.895,0.105
Will Joe Rogan attend presidential inauguration?,2025-01-20,0.23,0.77
Will Joe Grogan be Trump's HHS Secretary?,2025-01-20,0.0045,0.9955
Will Ben Carson be Trump's HHS Secretary?,2025-01-20,0.0965,0.9035
Will Mike Gallagher be Trump's Defense Secretary?,2025-01-20,0.0065,0.9935
Will Eric Hargan be Trump's HHS Secretary?,2025-01-20,0.0015,0.9985
Will Thomas Massie be Trump's Defense Secretary?,2025-01-20,0.0025,0.9975
Will Brian Blase be Trump's HHS Secretary?,2025-01-20,0.0035,0.9965
Will Mark Zuckerberg attend presidential inauguration?,2025-01-20,0.9685,0.0315
Will RFK Jr. be Trump's HHS Secretary?,2025-01-20,0.802,0.198
Will Joe Biden attend presidential inauguration?,2024-11-13,0.94,0.06
Will Lisa Murkowski vote to confirm Pete Hegseth as Secretary of Defense?,2025-01-20,0.685,0.315
Bernie Sanders votes to confirm RFK Jr?,2025-01-20,0.215,0.785
Will Donald Trump sign less than 5 executive orders in March?,2025-03-04,0.0065,0.9935
Will Donald Trump sign 5-9 executive orders in March?,2025-03-04,0.0115,0.9885
Will Trump post 80-89 times on Truth Feb 28 - March 7?,2025-03-04,0.061,0.939
Will Trump issue an executive order on March 5?,2025-03-04,0.365,0.635
Will Trump say 'mandate' 5+ times times during the 2025 State of the Union?,2025-03-04,0.075,0.925
Will Trump post less than 80 times on Truth Feb 28 - March 7?,2025-03-04,0.042,0.958
Will Trump post 100-109 times on Truth Feb 28 - March 7?,2025-03-04,0.185,0.815
Will Trump post 160 or more times on Truth Feb 28 - March 7?,2025-03-04,0.0305,0.9695
Will Trump post 150-159 times on Truth Feb 28 - March 7?,2025-03-04,0.0085,0.9915
Will Trump post 140-149 times on Truth Feb 28 - March 7?,2025-03-04,0.043,0.957
Will Trump post 110-119 times on Truth Feb 28 - March 7?,2025-03-04,0.255,0.745
Will Trump issue an executive order on March 4?,2025-03-04,0.48,0.52
Will Trump issue an executive order on March 6?,2025-03-04,0.54,0.46
Will Trump's 538 approval rating be 48.5% or higher on March 7?,2025-03-04,0.085,0.915
Will Trump post 120-129 times on Truth Feb 28 - March 7?,2025-03-04,0.17,0.83
Trump negative approval before April?,2025-03-04,0.92,0.08
Will Trump post 90-99 times on Truth Feb 28 - March 7?,2025-03-04,0.18,0.82
Will Trump post 130-139 times on Truth Feb 28 - March 7?,2025-03-04,0.0505,0.9495
Will Trump's 538 approval rating be less than 46.5% on March 7?,2025-03-04,0.24,0.76
Trump positive favorability on inauguration day?,2024-12-22,0.455,0.545
"Will Trump say ""Hurricane"" during Pennsylvania rally on October 9?",2024-10-10,0.91,0.09
Will Trump win Miami?,2024-10-10,0.425,0.575
Will Trump go on Redscare?,2024-10-10,0.138,0.862
Will Trump Media invest in Solana before March?,2025-02-19,0.037,0.963
Will Mike Rogers be Trump's FBI director?,2025-02-19,0.0005,0.9995
Will Trump meet with Javier Milei in his first 100 days?,2025-02-19,0.955,0.045
Will Trump Media invest in Ethereum before March?,2025-02-19,0.0525,0.9475
Will Trump Media invest in $TRUMP before March?,2025-02-19,0.0265,0.9735
Will Kash Patel be Trump's FBI director?,2025-02-19,0.9895,0.0105
Will Donald Trump be named in Epstein files?,2025-02-19,0.095,0.905
Trump positive favorability on March 1?,2025-02-21,0.065,0.935
Will Trump's 538 approval rating be 51.0% or higher on February 21?,2025-02-21,0.008,0.992
Will Trump's 538 approval rating be between 47.5% and 47.9% on February 21?,2025-02-21,0.014,0.986
Will Trump's 538 approval rating be between 48.5% and 48.9% on February 21?,2025-02-21,0.575,0.425
Will Trump's 538 approval rating be between 49.5% and 49.9% on February 21?,2025-02-21,0.07,0.93
Will Trump's 538 approval rating be between 50.5% and 50.9% on February 21?,2025-02-21,0.0075,0.9925
Will Trump's 538 approval rating be between 47.0% and 47.4% on February 21?,2025-02-21,0.0075,0.9925
Will Trump's 538 approval rating be between 48.0% and 48.4% on February 21?,2025-02-21,0.07,0.93
Will Trump's 538 approval rating be between 49.0% and 49.4% on February 21?,2025-02-21,0.29,0.71
Will Trump's 538 approval rating be between 50.0% and 50.4% on February 21?,2025-02-21,0.0155,0.9845
Will Trump's 538 approval rating be less than 47.0% on February 21?,2025-02-21,0.0035,0.9965
"Will Trump say ""God"" during Pennsylvania rally on October 9?",2024-10-09,0.93,0.07
"Will Trump say ""Hurricane"" during Pennsylvania rally on October 9?",2024-10-09,0.925,0.075
"Will Trump say ""Milton"" during Pennsylvania rally on October 9?",2024-10-09,0.43,0.57
"Will Trump say ""FEMA"" during Pennsylvania rally on October 9?",2024-10-09,0.46,0.54
"Will Trump say ""Too big to rig"" during Pennsylvania rally on October 9?",2024-10-09,0.905,0.095
"Will Trump say ""trans"" during Pennsylvania rally on October 9?",2024-10-09,0.895,0.105
"Will Trump say ""Green new scam"" during Pennsylvania rally on October 9?",2024-10-09,0.785,0.215
"Will Trump say ""tampon"" during Pennsylvania rally on October 9?",2024-10-09,0.065,0.935
"Will Trump say ""Border"" 20 or more times during Pennsylvania rally on October 9?",2024-10-09,0.87,0.13
"Will Trump say ""Border"" 30 or more times during Pennsylvania rally on October 9?",2024-10-09,0.415,0.585
"Will Trump say ""Elon"" 3 or more times during Pennsylvania rally on October 9?",2024-10-09,0.815,0.185
"Will Trump say ""Fracking"" 3 or more times during Pennsylvania rally on October 9?",2024-10-09,0.785,0.215
"Will Trump say ""missile defense shield"" during Pennsylvania rally on October 9?",2024-10-09,0.915,0.085
"Will Trump say ""Tax"" 20 or more times during Pennsylvania rally on October 9?",2024-10-09,0.79,0.21
"Will Trump say ""Kamala"" 25 or more times during Pennsylvania rally on October 9?",2024-10-09,0.705,0.295
"Will Trump say ""crypto"" or ""Bitcoin"" during Pennsylvania rally on October 9?",2024-10-09,0.0395,0.9605
"Will Trump say ""drill baby drill"" during Pennsylvania rally on October 9?",2024-10-09,0.865,0.135
"Will Trump say ""Kamala"" 35 or more times during Pennsylvania rally on October 9?",2024-10-09,0.265,0.735
Will Trump be Speaker by January 1?,2024-10-09,0.014,0.986
Will Trump launch a coin before the election?,2024-10-09,0.355,0.645
Will Trump cut NPR funding in February?,2025-02-06,0.675,0.325
Trump positive favorability on inauguration day?,2025-01-20,0.0295,0.9705
Trump positive favorability on February 1?,2025-01-20,0.395,0.605
Trump positive favorability on March 1?,2025-01-20,0.44,0.56
"Will Trump say ""Biden"" during his inauguration speech?",2025-01-20,0.895,0.105
Will Joe Biden attend presidential inauguration?,2025-01-20,0.989,0.011
Nine Trump Cabinet confirmations in January?,2025-01-20,0.115,0.885
Five Trump Cabinet confirmations in January?,2025-01-20,0.16,0.84
Eight Trump Cabinet confirmations in January?,2025-01-20,0.085,0.915
Will Biden pardon Trump?,2025-01-20,0.0195,0.9805
Will Mike Rogers be Trump's Defense Secretary?,2025-01-20,0.002,0.998
Will Doug Burgum be a member of the Trump administration?,2025-01-20,0.99,0.01
Seven Trump Cabinet confirmations in January?,2025-01-20,0.085,0.915
"Will Trump say ""Biden"" during victory rally?",2025-01-20,0.855,0.145
"Will Trump say ""America first"" during his inauguration speech?",2025-01-20,0.845,0.155
Six Trump Cabinet confirmations in January?,2025-01-20,0.16,0.84
Four Trump Cabinet confirmations in January?,2025-01-20,0.17,0.83
Will every president attend Trump’s inauguration?,2025-01-20,0.9615,0.0385
Will Matthew Whitaker be Trump's Attorney General?,2025-01-20,0.0035,0.9965
Will Eric Adams attend presidential inauguration?,2025-01-20,0.35,0.65
Will Shou Chew attend presidential inauguration?,2025-01-20,0.958,0.042
Three Trump Cabinet confirmations in January?,2025-01-20,0.024,0.976
Will Biden issue more pardons than Trump?,2025-01-20,0.165,0.835
Will Jay Clayton be Trump's Attorney General?,2025-01-20,0.003,0.997
Will 38-41 people watch Trump inauguration?,2025-01-20,0.085,0.915
Will Pete Hegseth be Trump's Defense Secretary?,2025-01-20,0.9525,0.0475
Will Andrew Bailey be Trump's Attorney General?,2025-01-20,0.003,0.997
Will Bill Clinton attend presidential inauguration?,2025-01-20,0.984,0.016
"Will Trump say ""Trump"" 3 or more times at CPAC conference on Saturday?",2025-02-22,0.3,0.7
"Will Trump say ""Ronald"" or ""Reagan"" at CPAC conference on Saturday?",2025-02-22,0.405,0.595
"Will Trump say ""french fries"" during Pennsylvania rally on October 26?",2024-10-25,0.31,0.69
"Will Trump say ""Green New Scam"" 3 or more times during New York rally on October 27?",2024-10-25,0.4,0.6
"Will Trump say ""border"" 25 or more times during Pennsylvania rally on October 26?",2024-10-25,0.765,0.235
"Will Trump say ""economic wasteland"" during Pennsylvania rally on October 26?",2024-10-25,0.695,0.305
"Will Trump say ""unrealized"" during Pennsylvania rally on October 26?",2024-10-25,0.36,0.64
"Will Trump say ""hispanic"" 3 or more times during Las Vegas rally on October 24?",2024-10-25,0.595,0.405
"Will Trump say ""border"" 25 or more times during Las Vegas rally on October 24?",2024-10-25,0.705,0.295
"Will Trump say ""McDonald's"" during Pennsylvania rally on October 26?",2024-10-25,0.805,0.195
"Will Trump say ""tax"" 25 or more times during Pennsylvania rally on October 26?",2024-10-25,0.47,0.53
"Will Trump say ""border"" 20 or more times during New York rally on October 27?",2024-10-25,0.845,0.155
Will New Mexico be the last state to be called by the AP?,2024-10-31,0.032,0.968
Trump wins Pennsylvania but loses the Election?,2024-10-31,0.07,0.93
"Trump wins the election but loses WI, MI, or PA?",2024-10-31,0.37,0.63
Trump eligible to vote in the election?,2024-10-31,0.8725,0.1275
Trump convicted of another felony before election?,2024-10-31,0.0085,0.9915
Trump wins every swing state?,2024-10-31,0.295,0.705
Will Donald Trump win the 2024 US Presidential Election?,2024-10-31,0.6695,0.3305
Will Trump win no swing states?,2024-10-31,0.075,0.925
Trump in jail before election day?,2024-10-31,0.007,0.993
Trump wins Pennsylvania but loses the Election?,2024-10-29,0.065,0.935
Will Trump be Speaker by January 1?,2024-10-29,0.044,0.956
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-29,0.4045,0.5955
"Will Trump say ""Vote"" 15 or more times during Georgia rally on October 28?",2024-10-29,0.825,0.175
Trump eligible to vote in the election?,2024-10-15,0.9685,0.0315
Will the Republican candidate win Georgia by 0%-1.0%?,2024-10-15,0.125,0.875
Will the Republican candidate win Georgia by 4.0% or more?,2024-10-15,0.215,0.785
Trump-Vance Republican ticket on election day?,2024-10-15,0.9765,0.0235
Will the Republican candidate win Georgia by 3.0%-4.0%?,2024-10-15,0.1,0.9
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-10-15,0.345,0.655
Will the Republican candidate win Georgia by 2.0%-3.0%?,2024-10-15,0.105,0.895
Trump in jail before election day?,2024-10-15,0.01,0.99
Will the Republican candidate win Georgia by 1.0%-2.0%?,2024-10-15,0.13,0.87
"Will Trump say ""Tariff"" during Georgia rally on October 28?",2024-10-28,0.945,0.055
"Will Trump say ""build the wall"" during Georgia rally on October 28?",2024-10-28,0.13,0.87
"Will Trump say ""Putin"" during Georgia rally on October 28?",2024-10-28,0.57,0.43
"Will Trump say ""Border"" 20 or more times during Georgia rally on October 28?",2024-10-28,0.625,0.375
"Will Trump say ""Border"" 30 or more times during Georgia rally on October 28?",2024-10-28,0.15,0.85
"Will Trump say ""No income tax"" during Georgia rally on October 28?",2024-10-28,0.175,0.825
"Will Trump say ""China"" 10 or more times during Georgia rally on October 28?",2024-10-28,0.48,0.52
"Will Trump say ""Rapist"" during Georgia rally on October 28?",2024-10-28,0.125,0.875
"Will Trump say ""fascist"" during Georgia rally on October 28?",2024-10-28,0.215,0.785
"Will Trump say ""Elon"" during Georgia rally on October 28?",2024-10-28,0.825,0.175
"Will Trump say ""hurricane"" 3 or more times during California rally on October 12?",2024-10-11,0.82,0.18
"Will Trump say ""hurricane"" 3 or more times during Colorado rally on October 11?",2024-10-11,0.73,0.27
Will Trump tweet 15-19 times October 4-11?,2024-10-11,0.215,0.785
Will Trump tweet 25-29 times October 4-11?,2024-10-11,0.08,0.92
"Will Trump say ""god"" 10 or more times during California rally on October 12?",2024-10-11,0.16,0.84
Will Trump tweet 35-39 times October 4-11?,2024-10-11,0.0155,0.9845
Trump blowout victory?,2024-10-11,0.11,0.89
Will Trump tweet 20-24 times October 4-11?,2024-10-11,0.705,0.295
Will Trump tweet 30-34 times October 4-11?,2024-10-11,0.035,0.965
Will Trump tweet 40-49 times October 4-11?,2024-10-11,0.0095,0.9905
"Will Trump say ""missile defense shield"" during California rally on October 12?",2024-10-11,0.785,0.215
"Will Trump say ""too big to rig"" 3 or more times during California rally on October 12?",2024-10-11,0.515,0.485
"Will Trump say ""Alaska"" during California rally on October 12?",2024-10-11,0.57,0.43
"Will Trump say ""god"" 2 or more times during Colorado rally on October 11?",2024-10-11,0.905,0.095
Will Trump tweet 50 or more times October 4-11?,2024-10-11,0.0025,0.9975
"Will Trump say ""unrealized"" during California rally on October 12?",2024-10-11,0.75,0.25
Will Joe Biden endorse Donald Trump?,2024-10-11,0.0125,0.9875
"Will Trump say ""Sleepy Joe"" or ""Crooked Joe"" 3 or more times during California rally on October 12?",2024-10-11,0.535,0.465
"Will Trump say ""FEMA"" during Colorado rally on October 11?",2024-10-11,0.42,0.58
"Will Trump say ""missile defense shield"" during Colorado rally on October 11?",2024-10-11,0.86,0.14
"Will Trump say ""Barack Hussein Obama"" during California rally on October 12?",2024-10-11,0.525,0.475
"Will Trump say ""Elon"" during California rally on October 12?",2024-10-11,0.865,0.135
"Will Trump say ""god"" 10 or more times during California rally on October 12?",2024-10-12,0.085,0.915
"Will Trump say ""Reagan"" during California rally on October 12?",2024-10-12,0.545,0.455
"Will Trump say ""Barack Hussein Obama"" during California rally on October 12?",2024-10-12,0.53,0.47
"Will Trump say ""Alaska"" during California rally on October 12?",2024-10-12,0.435,0.565
"Will Trump say ""too big to rig"" 3 or more times during California rally on October 12?",2024-10-12,0.435,0.565
"Will Trump say ""unrealized"" during California rally on October 12?",2024-10-12,0.705,0.295
"Will Trump say ""Elon"" during California rally on October 12?",2024-10-12,0.9,0.1
"Will Trump say ""Nayib Bukele"" during Arizona rally on October 13?",2024-10-12,0.095,0.905
"Will Trump say ""million"" 15 or more times during Arizona rally on October 13?",2024-10-12,0.42,0.58
"Will Trump say ""China"" 10 or more times during California rally on October 12?",2024-10-12,0.42,0.58
"Will Trump say ""hurricane"" 3 or more times during California rally on October 12?",2024-10-12,0.665,0.335
"Will Trump say ""tampon"" during California rally on October 12?",2024-10-12,0.475,0.525
"Will Trump say ""Barack Hussein Obama"" during Arizona rally on October 13?",2024-10-12,0.43,0.57
"Will Trump say ""trans"" during California rally on October 12?",2024-10-12,0.93,0.07
"Will Trump say ""Venezuela"" 3 or more times during Arizona rally on October 13?",2024-10-12,0.5,0.5
"Will Trump say ""hispanic"" during Arizona rally on October 13?",2024-10-12,0.87,0.13
"Will Trump say ""North Carolina"" 3 or more times during Colorado rally on October 11?",2024-10-12,0.59,0.41
"Will Trump say ""salt"" or ""SALT"" during Arizona rally on October 13?",2024-10-12,0.13,0.87
"Will Trump say ""MAGA"" 4 or more times during Arizona rally on October 13?",2024-10-12,0.615,0.385
"Will Trump say ""border"" 20 or more times during California rally on October 12?",2024-10-12,0.785,0.215
"Will Trump say ""border"" 30 or more times during California rally on October 12?",2024-10-12,0.425,0.575
"Will Trump say ""missile defense shield"" during California rally on October 12?",2024-10-12,0.865,0.135
"Will Trump say ""green new scam"" 2 or more times during California rally on October 12?",2024-10-12,0.35,0.65
"Will Trump say ""tampon"" during Arizona rally on October 13?",2024-10-12,0.37,0.63
"Will Trump say ""drill baby drill"" during California rally on October 12?",2024-10-12,0.755,0.245
"Will Trump say ""fracking"" 3 or more times during Colorado rally on October 11?",2024-10-12,0.54,0.46
"Will Trump say ""Kamala"" 35 or more times during California rally on October 12?",2024-10-12,0.39,0.61
"Will Trump say ""too big to rig"" during Colorado rally on October 11?",2024-10-12,0.925,0.075
"Will Trump say ""trans"" during Arizona rally on October 13?",2024-10-12,0.915,0.085
"Will Trump say ""crypto"" or ""Bitcoin"" during California rally on October 12?",2024-10-12,0.0435,0.9565
Will Trump be Speaker by January 1?,2024-10-21,0.0235,0.9765
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-21,0.3325,0.6675
Trump blowout victory?,2024-10-21,0.165,0.835
Will Donald Trump win the 2024 US Presidential Election?,2024-10-21,0.5985,0.4015
Trump wins a solid blue state?,2024-10-21,0.175,0.825
"Will Trump say ""American dream"" 3 or more times during Michigan rally on October 18?",2024-10-18,0.625,0.375
"Will Trump say ""MAGA"" 4 or more times during Michigan rally on October 18?",2024-10-18,0.44,0.56
"Will Trump say ""weave"" during Michigan rally on October 18?",2024-10-18,0.24,0.76
"Will Trump say ""Tesla"" during Michigan rally on October 18?",2024-10-18,0.58,0.42
"Will Trump say ""Ford"" during Michigan rally on October 18?",2024-10-18,0.78,0.22
"Will Trump say ""JD Vance"" during Michigan rally on October 18?",2024-10-18,0.435,0.565
"Will Trump say ""North Carolina"" 2 or more times during Michigan rally on October 18?",2024-10-18,0.64,0.36
"Will Trump say ""Kamala"" 30 or more times during Michigan rally on October 18?",2024-10-18,0.24,0.76
"Will Trump say ""border"" 25 or more times during Michigan rally on October 18?",2024-10-18,0.37,0.63
"Will Trump say ""border"" 35 or more times during Michigan rally on October 18?",2024-10-18,0.095,0.905
"Will Trump say ""trans"" during Michigan rally on October 18?",2024-10-18,0.88,0.12
"Will Trump say ""tampon"" during Michigan rally on October 18?",2024-10-18,0.12,0.88
"Will Trump say ""million"" 10 or more times during Michigan rally on October 18?",2024-10-18,0.675,0.325
"Will Trump say ""Barack Hussein Obama"" during Michigan rally on October 18?",2024-10-18,0.535,0.465
"Will Trump say ""Reagan"" during Michigan rally on October 18?",2024-10-18,0.43,0.57
"Will Trump say ""China"" 10 or more times during Michigan rally on October 18?",2024-10-18,0.745,0.255
Trump wins every swing state?,2024-10-18,0.285,0.715
"Will Trump say ""insane asylum"" during Michigan rally on October 18?",2024-10-18,0.785,0.215
"Will Trump say ""hurricane"" 2 or more times during Michigan rally on October 18?",2024-10-18,0.425,0.575
Will Chris Christie win the 2024 US Presidential Election?,2024-10-18,0.0005,0.9995
Will Donald Trump win the 2024 US Presidential Election?,2024-10-18,0.6185,0.3815
"Will Trump say ""Tren de Aragua"" during Michigan rally on October 18?",2024-10-18,0.505,0.495
"Will Trump say ""Elon"" during Michigan rally on October 18?",2024-10-18,0.91,0.09
Will Chris Christie win the popular vote in the 2024 Presidential Election?,2024-10-18,0.0005,0.9995
Trump fires campaign manager?,2024-10-18,0.04,0.96
Will Trump win another state by the largest margin?,2024-10-18,0.0225,0.9775
Will Trump win 4 swing states?,2024-10-18,0.085,0.915
Will Trump win 6 swing states?,2024-10-18,0.16,0.84
Will Trump win 1 swing state?,2024-10-18,0.1,0.9
"Will Trump say ""crypto"" or ""Bitcoin"" during Michigan rally on October 18?",2024-10-18,0.0435,0.9565
Will Trump win no swing states?,2024-10-18,0.105,0.895
Will Trump win 2 swing states?,2024-10-18,0.105,0.895
Trump ineligible to run for President?,2024-10-18,0.008,0.992
Will Trump win 5 swing states?,2024-10-18,0.11,0.89
